"speciesname","sub_unit","speciescode","euringcode","codeeco","typeasso","season","region"
"Sterna albifrons albifrons","Europe north of Mediterranean (bre)","A631-A",6240,"riversLakes","P","B","EU27"
"Sterna albifrons albifrons","Black Sea & East Mediterranean (bre)","A631-B",6240,"riversLakes","P","B","EU27"
"Sterna caspia caspia","","A732",6060,"sparselyVegetated","P","B","EU27"
"Sterna caspia caspia","","A732",6060,"coastal","P","W","EU27"
"Sterna dougallii dougallii","Europe (bre)","A733",6140,"sparselyVegetated","P","B","EU27"
"Sterna fuscata","","A564",6230,"sparselyVegetated","P","B","EU27"
"Sterna hirundo","","A193",6150,"riversLakes","P","B","EU27"
"Sterna nilotica nilotica","Western Europe/West Africa","A731-A",6050,"riversLakes","P","B","EU27"
"Sterna nilotica nilotica","Black Sea & East Mediterranean/Eastern Africa","A731-B",6050,"riversLakes","P","B","EU27"
"Sterna paradisaea","","A194",6160,"riversLakes","P","B","EU27"
"Sterna sandvicensis","","A191",6110,"sparselyVegetated","P","B","EU27"
"Sterna sandvicensis","","A191",6110,"coastal","P","W","EU27"
"Streptopelia decaocto","","A209",6840,"urban","P","B","EU27"
"Streptopelia senegalensis","","A766-X",6900,"urban","P","B","EU27"
"Streptopelia turtur","","A210",6870,"cropland","P","B","EU27"
"Strix aluco","","A219",7610,"woodlandForest","P","B","EU27"
"Strix nebulosa","","A457",7660,"woodlandForest","P","B","EU27"
"Strix uralensis","","A220",7650,"woodlandForest","P","B","EU27"
"Sturnus roseus","","A353",15840,"heathlandShrub","P","B","EU27"
"Sturnus unicolor","","A352",15830,"urban","P","B","EU27"
"Sturnus vulgaris","","A351",15820,"cropland","P","B","EU27"
"Sturnus vulgaris","","A351",15820,"cropland","P","W","EU27"
"Surnia ulula","","A456",7500,"woodlandForest","P","B","EU27"
"Sylvia atricapilla","","A311",12770,"woodlandForest","P","B","EU27"
"Sylvia borin","","A310",12760,"woodlandForest","P","B","EU27"
"Sylvia cantillans all others","","A770",12650,"heathlandShrub","P","B","EU27"
"Sylvia cantillans cantillans","","A648",12651,"heathlandShrub","P","B","EU27"
"Sylvia cantillans moltonii","","A647",12652,"heathlandShrub","P","B","EU27"
"Sylvia communis","","A309",12750,"grassland","P","B","EU27"
"Sylvia conspicillata","","A303",12640,"heathlandShrub","P","B","EU27"
"Sylvia curruca","","A308",12740,"cropland","P","B","EU27"
"Sylvia hortensis","","A306",12720,"cropland","P","B","EU27"
"Sylvia melanothorax","","A468",12680,"heathlandShrub","P","B","EU27"
"Sylvia nisoria","","A307",12730,"grassland","P","B","EU27"
"Sylvia sarda","","A301",12610,"heathlandShrub","P","B","EU27"
"Sylvia undata all others","","A769",12620,"heathlandShrub","P","B","EU27"
"Sylvia undata dartfordiensis","","A646",12620,"heathlandShrub","P","B","EU27"
"Sylvia undata undata","","A645",12620,"heathlandShrub","P","B","EU27"
"Syrmaticus reevesii","","A558-X",3930,"woodlandForest","P","B","EU27"
"Tachybaptus ruficollis ruficollis","Europe & North-west Africa","A690",70,"riversLakes","P","B","EU27"
"Tachybaptus ruficollis ruficollis","Europe & North-west Africa","A690",70,"riversLakes","P","W","EU27"
"Tachymarptis melba","","A228",7980,"sparselyVegetated","P","B","EU27"
"Tadorna ferruginea","North-west Africa","A397-A",1710,"wetlands","P","B","EU27"
"Tadorna ferruginea","East Mediterranean & Black Sea/North-east Africa","A397-B",1710,"riversLakes","P","B","EU27"
"Tadorna ferruginea","","A397-X",1710,"riversLakes","P","B","EU27"
"Tadorna ferruginea","East Mediterranean & Black Sea/North-east Africa","A397-B",1710,"riversLakes","P","W","EU27"
"Tadorna ferruginea","","A397-X",1710,"riversLakes","P","W","EU27"
"Tadorna tadorna","","A048",1730,"riversLakes","P","B","EU27"
"Tadorna tadorna","","A048",1730,"marineInlets","P","W","EU27"
"Tarsiger cyanurus","","A534",11130,"woodlandForest","P","B","EU27"
"Tetrao tetrix britannicus","","A410",3320,"heathlandShrub","P","B","EU27"
"Tetrao tetrix tetrix","","A409",3320,"heathlandShrub","P","B","EU27"
