"bgreporthash","monitoring_title","monitoring_year","monitoring_reference"
"28601ee5d42963e2d27387bbb7b71619","Planul Național de Acțiune pentru Pelecanus crispus în 2010",2010,"http://www.sor.ro/ro/proiecte/Salvati-pelicanul-cret-in-Delta-Dunarii.html"
"28601ee5d42963e2d27387bbb7b71619","Planurile Naționale de Acțiune pentru Aythya Nyroca și Phalacrocorax pygmeus",2012,"http://romania.panda.org/ce_facem/specii/rata_rosie/"
"28601ee5d42963e2d27387bbb7b71619","Elaborarea Planului Național de Acțiune pentru Aquila Pomarina",2013,"http://pomarina.ro/"
"28601ee5d42963e2d27387bbb7b71619","Monitoringul populațiilor de păsări din România (IBA)",2008,"Papp T., Fântână C. Editori (2008) – Ariile de Importanță Avifaunistică din România – publicație comună a Societății Ornitologice Române și a Asociației “Grupul Milvus”"
"3416ce2c11fd86f32f2212985a933069","Partial monitoring system BIOTA - yearly monitoring of selected bird species (birds of prey and Ciconia ciconia)",2008,"http://www.sopsr.sk/index.php?page=infoservis/biota"
"3416ce2c11fd86f32f2212985a933069","Winter monitoring of bird species",2011,"Slabeyová K., Ridzoň J., Karaska D., Topercer J. & Darolová A. 2011: Správa zo zimného sčítania vodného vtáctva na Slovensku 2009/10, SOS/BirdLife Slovensko, Bratislava, 160 s. http://www.vtaky.sk/stranka/95-Zimne-scitanie.html"
"3416ce2c11fd86f32f2212985a933069","Monitoring of common species",2011,"http://www.vtaky.sk/stranka/97-Scitanie-beznych-druhov.html"
"3416ce2c11fd86f32f2212985a933069","Monitoring of breeding water birds",2013,"http://www.vtaky.sk/stranka/96-Hniezdne-scitanie.html"
"3416ce2c11fd86f32f2212985a933069","Monitoring of Ciconia ciconia",2013,"http://www.bociany.sk/nestcards"
"3416ce2c11fd86f32f2212985a933069","Online web monitoring of selected species (occassionaly birds)",2013,"http://www.kukaj.sk/"
"3416ce2c11fd86f32f2212985a933069","New complex Web site for collecting distribution data on birds in preparation (final version in march 2014)",2013,"http://www.biomonitoring.sk"
"3f1a7e034f5936a929079be84b668345","Monitoring populacij izbranih vrst ptic - vmesno poročilo",2008,"Rubinić B. in sod. (2008): Monitoring populacij izbranih vrst ptic - rezultati popisov v spomladanski sezoni 2008. Vmesno poročilo. DOPPS, Ljubljana. 60 str. In digitalne priloge. http://www.natura2000.gov.si/uploads/tx_library/Monitring_ptice_2008_vmesno_porocilo.pdf"
"3f1a7e034f5936a929079be84b668345","Monitoring populacij izbranih ciljnih vrst ptic - zimsko štetje vodnih ptic 2002-2008 - končno poročilo",2008,"Božič L. (2008): Monitoring populacij izbranih ciljnih vrst ptic - zimsko štetje vodnih ptic 2002 - 2008. Končno poročilo. DOPPS, Maribor, 167 str. In digitalne priloge. http://www.natura2000.gov.si/fileadmin/user_upload/Knjiznjica/raziskave/IWC_DOPPS_20002-2008.pdf"
"3f1a7e034f5936a929079be84b668345","Monitoring splošno razširjenih vrst ptic v letu 2008 za določitev slovenskega indeksa ptic kmetijske krajine - poročilo",2008,"Božič L. in sod (2008): Monitoring splošno razširjenih vrst ptic v letu 2008 za določitev slovenskega indeksa ptic kmetijske krajine - poročilo. DOPPS. Maribor, 164 str. http://www.natura2000.gov.si/fileadmin/user_upload/Knjiznjica/Studije/FBI_porocilo_2008.pdf"
"3f1a7e034f5936a929079be84b668345","Monitoring populacij izbranih vrst ptic - končno poročilo",2009,"Rubinić B. in sod. (2009): Monitoring populacij izbranih vrst ptic - končno poročilo. DOPPS, Ljubljana, 28 str. In digitalne priloge. http://www.natura2000.gov.si/uploads/tx_library/Monitoring_ptic_09_Koncno.pdf"
"3f1a7e034f5936a929079be84b668345","Monitoring populacij izbranih vrst ptic - rezultati popisov v spomladanski sezoni 2009",2009,"Rubinić B. in sod. (2009): Monitoring populacij izbranih vrst ptic - rezultati popuisov v spomladanski sezoni 2009 - vmesno poročilo. DOPPS, Ljubljana, 58 str."
"3f1a7e034f5936a929079be84b668345","Monitoring splošno razširjenih vrst ptic v letu 2009 za določitev slovenskega indeksa ptic kmetijske krajine - končno poročilo",2009,"Figelj J. in sod. (2009): Monitoring splošno razširjenih vrst ptic v letu 2009 za določitev slovenskega indeksa ptic kmetijske krajine - končno poročilo. DOPPS, Ljubljana, 68 str. In digitalne priloge."
